[2023-06-17T00:19:08.464Z] | ::1 | GET /api/perm/getPermLists?btnId=34285bfb-d750-4fd0-8d22-275d61657eeb&code=2&name=%E8%8E%B7%E5%8F%96%E5%88%97%E8%A1%A8 | Params: {} | Query: {"btnId":"34285bfb-d750-4fd0-8d22-275d61657eeb","code":"2","name":"获取列表"} | Status: 200 | Response: - |  t3eiQ2c-WGi62f1xZfu_qh0yTnJLn7gb 
[2023-06-17T00:20:27.138Z] | ::1 | GET /api/perm/getPermLists?btnId=34285bfb-d750-4fd0-8d22-275d61657eeb&code=2&name=%E8%8E%B7%E5%8F%96%E5%88%97%E8%A1%A8 | Params: {} | Query: {"btnId":"34285bfb-d750-4fd0-8d22-275d61657eeb","code":"2","name":"获取列表"} | Status: 200 | Response: - |  4P_DCOCPElkoMli-aWn9mnNKID1UlIA1 
[2023-06-17T00:21:04.843Z] | ::1 | GET /api/perm/getPermLists?btnId=34285bfb-d750-4fd0-8d22-275d61657eeb&code=2&name=%E8%8E%B7%E5%8F%96%E5%88%97%E8%A1%A8 | Params: {} | Query: {"btnId":"34285bfb-d750-4fd0-8d22-275d61657eeb","code":"2","name":"获取列表"} | Status: 200 | Response: - |  40BoR5mgxObSRpapwIaMY-bG9Q3cy-mB 
[2023-06-17T00:21:11.327Z] | ::1 | GET /api/perm/getPermLists?btnId=34285bfb-d750-4fd0-8d22-275d61657eeb | Params: {} | Query: {"btnId":"34285bfb-d750-4fd0-8d22-275d61657eeb"} | Status: 200 | Response: - |  40BoR5mgxObSRpapwIaMY-bG9Q3cy-mB 
[2023-06-17T00:21:22.375Z] | ::1 | GET /api/perm/getPermLists?btnId=34285bfb-d750-4fd0-8d22-275d61657eeb&code=2 | Params: {} | Query: {"btnId":"34285bfb-d750-4fd0-8d22-275d61657eeb","code":"2"} | Status: 200 | Response: - |  40BoR5mgxObSRpapwIaMY-bG9Q3cy-mB 
[2023-06-17T00:21:34.529Z] | ::1 | GET /api/perm/getPermLists | Params: {} | Query: {} | Status: 200 | Response: - |  40BoR5mgxObSRpapwIaMY-bG9Q3cy-mB 
[2023-06-17T00:22:13.550Z] | ::1 | GET /api/perm/getPermLists | Params: {} | Query: {} | Status: 200 | Response: - |  qlDSobnLkc2zFsUlIUjezRyFGy5p9nXI 
[2023-06-17T00:22:46.607Z] | ::1 | GET /api/perm/getPermLists | Params: {} | Query: {} | Status: 200 | Response: - |  qlDSobnLkc2zFsUlIUjezRyFGy5p9nXI 
[2023-06-17T00:23:03.052Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  qlDSobnLkc2zFsUlIUjezRyFGy5p9nXI 
[2023-06-17T00:39:58.249Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  BRxkAXH4NQeYAAkn8_z2aIuWQ2UGOM5F 
[2023-06-17T01:25:54.844Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 401 | Response: - |  C7aBDtRK2pen7tumCDrIU-vfShkf0G2- 
[2023-06-17T01:26:03.492Z] | ::1 | POST /api/user/loginByCode | Params: {} | Query: {} | Status: 200 | Response: - |  C7aBDtRK2pen7tumCDrIU-vfShkf0G2- 
[2023-06-17T01:26:25.445Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  C7aBDtRK2pen7tumCDrIU-vfShkf0G2- 
[2023-06-17T01:27:23.593Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  SJfhmDH6tAbhLJP-g8RP7_wppiXAZZQZ 
[2023-06-17T01:28:02.039Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  LZXwOL711FhP3pMPR0E_p417dltjzri1 
[2023-06-17T01:30:36.772Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  LZXwOL711FhP3pMPR0E_p417dltjzri1 
[2023-06-17T01:30:44.245Z] | ::1 | GET /api/perm/getPermLists | Params: {} | Query: {} | Status: 200 | Response: - |  LZXwOL711FhP3pMPR0E_p417dltjzri1 
[2023-06-17T01:31:17.061Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  46NriLt7-q8Nvd-spW3lPBxN9h_U1UO6 
[2023-06-17T01:32:06.476Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  a_xfeQIE1SHPIHKXxDmkeEc9UUY483vF 
[2023-06-17T01:33:17.201Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  4POGa5AE3poKX9OqutjzCs35f3CGD_08 
[2023-06-17T01:34:51.194Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  4BLRnDUWkNcGb5NLMD6kIXqCmmCihNbS 
[2023-06-17T01:36:05.580Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  4BLRnDUWkNcGb5NLMD6kIXqCmmCihNbS 
[2023-06-17T01:37:53.676Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  W9TjI72qNeWczYgb9_9jtoMUhII9cYNI 
[2023-06-17T01:42:34.457Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  W9TjI72qNeWczYgb9_9jtoMUhII9cYNI 
[2023-06-17T02:03:16.944Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  3F-iFAk-hmAJsRCXxlVXwjA9KW7ap4k0 
[2023-06-17T02:11:26.321Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  ooOxvVtw9WF1Ho2Fr95LRKOiSY8tZipa 
[2023-06-17T02:12:23.245Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  DDUlYyzfCIWKq53TVZLca7j2d3TYUfeT 
[2023-06-17T02:14:57.806Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  qIpAQxpNXDqTiJuCZ798PKhpbHq6FHdW 
[2023-06-17T02:14:59.982Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  qIpAQxpNXDqTiJuCZ798PKhpbHq6FHdW 
[2023-06-17T02:15:24.267Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  McL7gdmP0_VdNRJ7oUXWdC8bLDiJbMcS 
[2023-06-17T02:16:58.468Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  AXtti5RYMJamYhz1-LC9P4LXjIJQmzj5 
[2023-06-17T02:18:16.973Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  X_1dDK6ZD1SCKFCO9qi1En1l2xrTePZd 
[2023-06-17T02:18:34.083Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  8TqJio03_IVOOncqq84qO8Ln5-Rc-Fr0 
[2023-06-17T02:18:52.859Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  yEfJ_jAo7_Q7V5EcBFDDcEHI3aqTV8Nl 
[2023-06-17T02:18:54.764Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  yEfJ_jAo7_Q7V5EcBFDDcEHI3aqTV8Nl 
[2023-06-17T03:33:06.739Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 401 | Response: - |  veAgKx0KSb7ljaQLbZ0LPZJd3ZQmB6ZU 
[2023-06-17T03:33:13.211Z] | ::1 | POST /api/user/loginByCode | Params: {} | Query: {} | Status: 200 | Response: - |  veAgKx0KSb7ljaQLbZ0LPZJd3ZQmB6ZU 
[2023-06-17T03:34:01.049Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  veAgKx0KSb7ljaQLbZ0LPZJd3ZQmB6ZU 
[2023-06-17T03:34:20.108Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  veAgKx0KSb7ljaQLbZ0LPZJd3ZQmB6ZU 
[2023-06-17T03:34:29.326Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  veAgKx0KSb7ljaQLbZ0LPZJd3ZQmB6ZU 
[2023-06-17T03:34:38.949Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  veAgKx0KSb7ljaQLbZ0LPZJd3ZQmB6ZU 
[2023-06-17T03:35:10.544Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  veAgKx0KSb7ljaQLbZ0LPZJd3ZQmB6ZU 
[2023-06-17T03:35:47.406Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  veAgKx0KSb7ljaQLbZ0LPZJd3ZQmB6ZU 
[2023-06-17T03:35:55.630Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  veAgKx0KSb7ljaQLbZ0LPZJd3ZQmB6ZU 
[2023-06-17T03:36:43.973Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  veAgKx0KSb7ljaQLbZ0LPZJd3ZQmB6ZU 
[2023-06-17T03:37:26.201Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  veAgKx0KSb7ljaQLbZ0LPZJd3ZQmB6ZU 
[2023-06-17T03:41:07.986Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  J7OVqtNKeb2AbGjOa_9ZNxi5bCtZeCM2 
[2023-06-17T03:41:57.923Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 200 | Response: - |  J7OVqtNKeb2AbGjOa_9ZNxi5bCtZeCM2 
[2023-06-17T03:43:19.856Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  J7OVqtNKeb2AbGjOa_9ZNxi5bCtZeCM2 
[2023-06-17T03:46:42.485Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  YfDmmANJcT9-3EtzL1Z8D3mJNrcsL8EX 
[2023-06-17T03:47:46.826Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  iqYUQEuz3IF_Hwe7Ey4tlOq_XcgZCVGM 
[2023-06-17T03:51:10.525Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  i7AtpqK8_T0J0_kidsphKR7HsKzaW5Xp 
[2023-06-17T03:51:28.171Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  Rr098kDR0hNYOX3Q2nQeJjcNojm8-NG6 
[2023-06-17T03:52:28.114Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  uhK3MAJiIHPZ6QWsT5zeK7VlCiFdZfgS 
[2023-06-17T03:56:19.620Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  NrpvFx75MeMQEzLjafxJS4KztjzF1DM8 
[2023-06-17T03:56:22.938Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  NrpvFx75MeMQEzLjafxJS4KztjzF1DM8 
[2023-06-17T03:58:54.561Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  2lAaG8xotvY4Px9HDAo05Y0_O_bAewVJ 
[2023-06-17T04:00:07.329Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  QyDB7_gCI3wyvKQweUR94O_EPp3v6cVu 
[2023-06-17T04:00:53.499Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  evnhygx4nE8wWpi6LvyG60BW1yyu3HvO 
[2023-06-17T04:04:13.370Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  3ipAVwfHcJByjfWg3nP2KOM5PF5hToq0 
[2023-06-17T04:19:46.952Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  rpE7pgLsoCAIgecgRXbMhVdYNpA69s13 
[2023-06-17T04:35:14.637Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  86RLvuh_ZwOQSCitTJbwZ5tySYkPaiJB 
[2023-06-17T04:49:06.993Z] | ::1 | DELETE /api/perm/deletePerm | Params: {} | Query: {} | Status: 400 | Response: - |  hlSMhKMjHsEVU5HQLiB6g2KkG4U89T0C 
[2023-06-17T04:51:31.674Z] | ::1 | PUT /api/perm/updatePerm | Params: {} | Query: {} | Status: 201 | Response: - |  hlSMhKMjHsEVU5HQLiB6g2KkG4U89T0C 
[2023-06-17T04:52:32.679Z] | ::1 | PUT /api/perm/updatePerm | Params: {} | Query: {} | Status: 201 | Response: - |  hlSMhKMjHsEVU5HQLiB6g2KkG4U89T0C 
[2023-06-17T04:53:59.912Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 400 | Response: - |  hlSMhKMjHsEVU5HQLiB6g2KkG4U89T0C 
[2023-06-17T04:54:13.447Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  LXOra7LNMS-qhcgyvSh7ZcmoD0mCFaze 
[2023-06-17T04:54:25.731Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  LXOra7LNMS-qhcgyvSh7ZcmoD0mCFaze 
[2023-06-17T04:54:38.448Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  LXOra7LNMS-qhcgyvSh7ZcmoD0mCFaze 
[2023-06-17T04:55:53.965Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 400 | Response: - |  LXOra7LNMS-qhcgyvSh7ZcmoD0mCFaze 
[2023-06-17T04:57:00.621Z] | ::1 | PUT /api/perm/updatePerm | Params: {} | Query: {} | Status: 201 | Response: - |  LXOra7LNMS-qhcgyvSh7ZcmoD0mCFaze 
[2023-06-18T00:27:32.298Z] | ::1 | POST /api/user/loginByCode | Params: {} | Query: {} | Status: 200 | Response: - |  4jVFakcBkpbPWVWB_C6_Y4utKleORRJg 
